codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,aeronave_equipamento,aeronave_tipo_motor,aeronave_quantidade_motores,aeronave_pais_registro,aeronave_segmento_aviacao,aeronave_fase_voo,aeronave_tipo_operacao,quantidade_fatalidades,quantidade_fatores_contribuintes,ocorrencia_dia_horario
201702061612254,ACIDENTE,PERDA DE CONTROLE EM VOO,SÃO SEPÉ,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,POUSO,OPERAÇÃO AGRÍCOLA,NaN,0,2017-02-04 11:20:00
201511296825720,ACIDENTE,FALHA DO MOTOR EM VOO,SÃO VICENTE DO SUL,RS,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,ESPECIALIZADA,OPERAÇÃO AGRÍCOLA,1.0,0,2015-11-29 20:30:00
201707191927093,ACIDENTE,PERDA DE CONTROLE NO SOLO,PONTA GROSSA,PR,SSZW,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,POUSO,VOO DE INSTRUÇÃO,NaN,0,2017-07-17 11:00:00
201507258829699,ACIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,PONTA GROSSA,PR,NaN,ULTRALEVE,PISTÃO,1.0,BRASIL,EXPERIMENTAL,NAVEGAÇÃO A BAIXA ALTURA,VOO PRIVADO,NaN,0,2015-07-25 20:00:00
200909234252504,ACIDENTE,PERDA DE CONTROLE EM VOO,PONTA GROSSA,PR,NaN,AVIÃO,PISTÃO,1.0,BRASIL,AGRÍCOLA,OUTRA FASE,OPERAÇÃO AGRÍCOLA,NaN,4,2009-09-23 13:50:00
201605091543463,ACIDENTE,POUSO SEM TREM,PONTA GROSSA,PR,SSZW,AVIÃO,PISTÃO,2.0,BRASIL,PARTICULAR,POUSO,VOO PRIVADO,NaN,2,2016-05-01 19:15:00
200811055998190,ACIDENTE,PERDA DE CONTROLE EM VOO,PONTA GROSSA,PR,SSZW,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,CIRCUITO DE TRÁFEGO,VOO PRIVADO,2.0,8,2008-11-05 12:35:00
201604201928144,INCIDENTE GRAVE,COM COMANDOS DE VOO,PONTA GROSSA,PR,NaN,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,MANOBRA,VOO DE INSTRUÇÃO,NaN,2,2016-04-19 15:10:00
201609291144529,ACIDENTE,PERDA DE CONTROLE NO SOLO,PONTA GROSSA,PR,SSZW,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,CORRIDA APÓS POUSO,VOO DE INSTRUÇÃO,NaN,6,2016-09-23 14:25:00
201412233140394,INCIDENTE,FALHA DO MOTOR EM VOO,PONTA GROSSA,PR,NaN,AVIÃO,TURBOÉLICE,2.0,BRASIL,PARTICULAR,SUBIDA,VOO PRIVADO,NaN,0,2014-12-23 12:35:00
201205288802622,ACIDENTE,PERDA DE CONTROLE EM VOO,PONTA GROSSA,PR,SSZW,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,ARREMETIDA NO AR,VOO DE INSTRUÇÃO,NaN,0,2012-05-28 20:25:00
