codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,aeronave_equipamento,aeronave_tipo_motor,aeronave_quantidade_motores,aeronave_pais_registro,aeronave_segmento_aviacao,aeronave_fase_voo,aeronave_tipo_operacao,quantidade_fatalidades,quantidade_fatores_contribuintes,ocorrencia_dia_horario
201211291221242,INCIDENTE,ESTOURO DE PNEU,MANAUS,AM,SBEG,AVIÃO,TURBOÉLICE,2.0,BRASIL,TÁXI AÉREO,CORRIDA APÓS POUSO,TÁXI AÉREO,NaN,0,2012-11-29 18:20:00
201010189895377,INCIDENTE,COM TREM DE POUSO,MANAUS,AM,NaN,AVIÃO,TURBOÉLICE,2.0,BRASIL,TÁXI AÉREO,CORRIDA APÓS POUSO,TÁXI AÉREO,NaN,0,2010-10-18 21:45:00
201309067980368,INCIDENTE,ESTOURO DE PNEU,MANAUS,AM,SBEG,AVIÃO,TURBOÉLICE,2.0,BRASIL,TÁXI AÉREO,TÁXI,TÁXI AÉREO,NaN,0,2013-09-06 03:06:00
201604212256164,ACIDENTE,PERDA DE CONTROLE NO SOLO,MANAUS,AM,SWFN,AVIÃO,PISTÃO,1.0,BRASIL,INSTRUÇÃO,CORRIDA APÓS POUSO,VOO DE INSTRUÇÃO,NaN,4,2016-04-21 20:00:00
201408017621137,INCIDENTE,OUTROS,MANAUS,AM,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,CRUZEIRO,VOO PRIVADO,NaN,0,2014-08-01 14:48:00
201305021929609,INCIDENTE,TRÁFEGO AÉREO,MANAUS,AM,SBEG,AVIÃO,JATO,2.0,BRASIL,REGULAR,SUBIDA,VOO REGULAR,NaN,0,2013-05-02 15:46:00
201301272467808,INCIDENTE,FALHA DO MOTOR EM VOO,MANAUS,AM,NaN,AVIÃO,TURBOÉLICE,2.0,BRASIL,REGULAR,CRUZEIRO,VOO REGULAR,NaN,0,2013-01-27 16:27:00
201411241980315,INCIDENTE,COM PARA-BRISAS / JANELA / PORTA,MANAUS,AM,NaN,AVIÃO,TURBOÉLICE,2.0,BRASIL,REGULAR,CRUZEIRO,VOO REGULAR,NaN,0,2014-11-24 11:05:00
201112305115570,INCIDENTE,POUSO BRUSCO,MANAUS,AM,NaN,HELICÓPTERO,TURBOEIXO,1.0,BRASIL,ADMINISTRAÇÃO DIRETA,POUSO,OPERAÇÃO POLICIAL,NaN,0,2011-12-30 14:00:00
200812079769759,ACIDENTE,PERDA DE CONTROLE EM VOO,MANAUS,AM,NaN,AVIÃO,PISTÃO,1.0,BRASIL,PARTICULAR,SUBIDA,VOO PRIVADO,1.0,6,2008-12-07 11:15:00
201105117579990,INCIDENTE,OUTROS,MANAUS,AM,NaN,AVIÃO,TURBOÉLICE,2.0,BRASIL,REGULAR,SUBIDA,VOO REGULAR,NaN,0,2011-05-11 09:30:00
201107156302860,INCIDENTE,PERDA DE COMPONENTE EM VOO,MANAUS,AM,SBEG,AVIÃO,JATO,2.0,BRASIL,REGULAR,OUTRA FASE,VOO REGULAR,NaN,0,2011-07-15 15:51:00
201511178210948,INCIDENTE GRAVE,COM TREM DE POUSO,MANAUS,AM,SWFN,AVIÃO,PISTÃO,2.0,BRASIL,TÁXI AÉREO,CORRIDA APÓS POUSO,TÁXI AÉREO,NaN,0,2015-11-17 17:55:00
200906235605853,INCIDENTE,COLISÃO COM AERONAVE NO SOLO,MANAUS,AM,NaN,AVIÃO,TURBOÉLICE,2.0,BRASIL,REGULAR,ESTACIONAMENTO,VOO REGULAR,NaN,0,2009-06-23 13:23:00
201006152787298,INCIDENTE,ESTOURO DE PNEU,MANAUS,AM,SBEG,AVIÃO,PISTÃO,2.0,BRASIL,TÁXI AÉREO,TÁXI,TÁXI AÉREO,NaN,0,2010-06-15 15:20:00
201402129207776,INCIDENTE,OUTROS,MANAUS,AM,SBEG,AVIÃO,TURBOÉLICE,2.0,BRASIL,REGULAR,SUBIDA,VOO REGULAR,NaN,0,2014-02-12 10:55:00
